2.299999999999999961e-02,0.000000000000000000e+00
3.300000000000000155e-02,1.601318360000000141e+01
4.299999999999999656e-02,1.832641599999999826e+01
5.299999999999999850e-02,1.663269000000000020e+01
6.300000000000000044e-02,1.420257570000000058e+01
7.299999999999999545e-02,1.210388179999999991e+01
8.300000000000000433e-02,1.037200930000000021e+01
9.299999999999999933e-02,9.065856999999999388e+00
1.029999999999999943e-01,8.070983999999999270e+00
1.130000000000000032e-01,7.288513000000000019e+00
1.229999999999999982e-01,6.799011000000000138e+00
1.330000000000000071e-01,6.286926270000000372e+00
1.429999999999999882e-01,5.882263000000000019e+00
1.529999999999999971e-01,5.552368000000000414e+00
1.630000000000000060e-01,5.258789000000000158e+00
1.729999999999999871e-01,5.067138670000000289e+00
1.829999999999999960e-01,4.858398440000000207e+00
1.930000000000000049e-01,4.754333500000000434e+00
2.030000000000000138e-01,4.672240999999999644e+00
2.129999999999999949e-01,4.555664000000000158e+00
2.230000000000000038e-01,4.486083999999999961e+00
2.330000000000000127e-01,4.410705570000000186e+00
2.429999999999999938e-01,4.310608000000000217e+00
2.630000000000000115e-01,4.225463999999999665e+00
2.730000000000000204e-01,4.157104490000000041e+00
2.929999999999999827e-01,4.068908689999999773e+00
3.029999999999999916e-01,4.017028999999999961e+00
3.230000000000000093e-01,3.925171000000000188e+00
3.330000000000000182e-01,3.891906740000000031e+00
4.729999999999999760e-01,3.799133299999999824e+00
4.829999999999999849e-01,3.791198730000000072e+00
5.430000000000000382e-01,3.692932129999999979e+00
5.530000000000000471e-01,3.680114749999999990e+00
5.829999999999999627e-01,3.626708999999999961e+00
5.929999999999999716e-01,3.576660159999999866e+00
6.330000000000000071e-01,3.502197269999999918e+00
6.430000000000000160e-01,3.464355470000000103e+00
6.830000000000000515e-01,3.390502999999999822e+00
6.929999999999999494e-01,3.355102539999999856e+00
7.329999999999999849e-01,3.261718750000000000e+00
7.429999999999999938e-01,3.225708000000000020e+00
8.030000000000000471e-01,3.135070799999999824e+00
8.129999999999999449e-01,3.103942870000000021e+00
8.729999999999999982e-01,3.007202149999999907e+00
8.830000000000000071e-01,2.984313999999999911e+00
9.929999999999999938e-01,2.889099120000000021e+00
1.002999999999999892e+00,2.878112789999999865e+00
1.342999999999999972e+00,2.778930659999999886e+00
1.352999999999999980e+00,2.747802730000000082e+00
1.393000000000000016e+00,2.649536129999999989e+00
1.403000000000000025e+00,2.627868649999999917e+00
1.413000000000000034e+00,2.608642580000000155e+00
1.423000000000000043e+00,0.000000000000000000e+00
5.005710000000000264e+02,0.000000000000000000e+00
