Energie Oppervlakte Links,3152,,Energie Oppervlakte Rechts,3156,,InschakelpiekLinks,3152,,InschakelpiekRechts,3156,,MaxOmloopStroomLinks,3152,,MaxOmloopStroomRechts,3156,,OmloopTijdLinks_Motorstroom,3152,,OmloopTijdRechts_Motorstroom,3156,,OmloopTijdRechts_Relais,3156,,OmloopTijdLinks_Relais,3152,,SectieBezettingTijd,6789,,TijdEindMotorstroomControleLinks,3152,,TijdEindMotorstroomControleRechts,3156,,TijdSturingMotorstroomLinks,3152,,TijdSturingMotorstroomRechts,3156,,UitControleTijd,6320
01/Apr/19 06:59:03.396,5.5313585564825,,01/Apr/19 06:48:20.689,5.54720355033055,,01/Apr/19 06:59:03.396,17.9196167,,01/Apr/19 06:48:20.689,18.0184937,,01/Apr/19 06:59:03.396,4.43325719199375,,01/Apr/19 06:48:20.689,4.25198258520395,,01/Apr/19 06:59:03.396,1.3899994,,01/Apr/19 06:48:20.689,1.4099884,,01/Apr/19 06:48:20.689,1.4510041,,01/Apr/19 06:59:03.396,1.4499969,,01/Apr/19 05:52:59.431,22.5990143,,01/Apr/19 06:59:03.396,0.0370026,,01/Apr/19 06:48:20.689,0.0380097,,01/Apr/19 06:59:03.396,0.0229949,,01/Apr/19 06:48:20.689,0.003006,,01/Apr/19 05:57:00.264,1.3500061
01/Apr/19 07:05:07.795,5.57580024142769,,01/Apr/19 07:02:03.596,5.61440809949739,,01/Apr/19 07:05:07.795,17.9278564,,01/Apr/19 07:02:03.596,17.9138184,,01/Apr/19 07:05:07.795,4.48330447324822,,01/Apr/19 07:02:03.596,4.31942598759603,,01/Apr/19 07:05:07.795,1.3899994,,01/Apr/19 07:02:03.596,1.4199982,,01/Apr/19 07:02:03.596,1.4510041,,01/Apr/19 07:05:07.795,1.4500122,,01/Apr/19 05:58:53.192,17,,01/Apr/19 07:05:07.795,0.0480042,,01/Apr/19 07:02:03.596,0.0279999,,01/Apr/19 07:05:07.795,0.0120086,,01/Apr/19 07:02:03.596,0.003006,,01/Apr/19 06:01:34.564,1.3500061
01/Apr/19 07:12:30.305,5.65040642617549,,01/Apr/19 07:07:26.945,5.58255361783914,,01/Apr/19 07:12:30.305,17.9403687,,01/Apr/19 07:07:26.945,18.0969238,,01/Apr/19 07:12:30.305,4.44027966268988,,01/Apr/19 07:07:26.945,4.24557224595332,,01/Apr/19 07:12:30.305,1.4000091,,01/Apr/19 07:07:26.945,1.4199982,,01/Apr/19 07:07:26.945,1.449997,,01/Apr/19 07:12:30.305,1.449997,,01/Apr/19 06:03:54.292,16.5,,01/Apr/19 07:12:30.305,0.0469971,,01/Apr/19 07:07:26.945,0.0180054,,01/Apr/19 07:12:30.305,0.0029908,,01/Apr/19 07:07:26.945,0.0119934,,01/Apr/19 06:06:30.863,1.300003
01/Apr/19 07:21:43.854,5.56117915629823,,01/Apr/19 07:17:11.605,5.58313471922694,,01/Apr/19 07:21:43.854,17.8900146,,01/Apr/19 07:17:11.605,17.9129028,,01/Apr/19 07:21:43.854,4.43693153496623,,01/Apr/19 07:17:11.605,4.31484492804791,,01/Apr/19 07:21:43.854,1.3880005,,01/Apr/19 07:17:11.605,1.4199982,,01/Apr/19 07:17:11.605,1.451004,,01/Apr/19 07:21:43.854,1.3999939,,01/Apr/19 06:08:32.193,17.1000061,,01/Apr/19 07:21:43.854,0,,01/Apr/19 07:17:11.605,0.0279998,,01/Apr/19 07:21:43.854,0.0119934,,01/Apr/19 07:17:11.605,0.003006,,01/Apr/19 06:14:04.371,1.2999877
01/Apr/19 07:33:38.662,5.54133705025623,,01/Apr/19 07:30:59.513,5.5364624772543,,01/Apr/19 07:33:38.662,17.8469849,,01/Apr/19 07:30:59.513,17.9245,,01/Apr/19 07:33:38.662,4.42014740457151,,01/Apr/19 07:30:59.513,4.34413897267428,,01/Apr/19 07:33:38.662,1.3899994,,01/Apr/19 07:30:59.513,1.4099884,,01/Apr/19 07:30:59.513,1.4499969,,01/Apr/19 07:33:38.662,1.3999939,,01/Apr/19 06:16:16.753,13.300003,,01/Apr/19 07:33:38.662,0.0069885,,01/Apr/19 07:30:59.513,0.0279998,,01/Apr/19 07:33:38.662,0.003006,,01/Apr/19 07:30:59.513,0.0120087,,01/Apr/19 06:18:26.671,1.3009949
01/Apr/19 07:39:39.062,5.56682009718035,,01/Apr/19 07:36:51.912,5.51782002436126,,01/Apr/19 07:39:39.062,17.9055786,,01/Apr/19 07:36:51.912,17.8448486,,01/Apr/19 07:39:39.062,4.43947479334206,,01/Apr/19 07:36:51.912,4.28342675087888,,01/Apr/19 07:39:39.062,1.3820038,,01/Apr/19 07:36:51.912,1.4100036,,01/Apr/19 07:36:51.912,1.4499969,,01/Apr/19 07:39:39.062,1.4000092,,01/Apr/19 06:20:40.202,34.0500031,,01/Apr/19 07:39:39.062,0.0180054,,01/Apr/19 07:36:51.912,0.0379944,,01/Apr/19 07:39:39.062,0,,01/Apr/19 07:36:51.912,0.0019989,,01/Apr/19 06:29:32.429,1.3499908
01/Apr/19 07:46:00.521,5.58291707376626,,01/Apr/19 07:42:00.271,5.52234936865124,,01/Apr/19 07:46:00.521,18.1134033,,01/Apr/19 07:42:00.271,18.1747437,,01/Apr/19 07:46:00.521,4.45139517032029,,01/Apr/19 07:42:00.271,4.26998626182311,,01/Apr/19 07:46:00.521,1.3899994,,01/Apr/19 07:42:00.271,1.4029998,,01/Apr/19 07:42:00.271,1.4499969,,01/Apr/19 07:46:00.521,1.4499969,,01/Apr/19 06:31:13.712,8.3990021,,01/Apr/19 07:46:00.521,0.0480041,,01/Apr/19 07:42:00.271,0.0469971,,01/Apr/19 07:46:00.521,0.0119934,,01/Apr/19 07:42:00.271,0,,01/Apr/19 06:31:28.529,1.300003
01/Apr/19 07:57:07.230,5.59863676780877,,01/Apr/19 07:49:58.770,5.69857909449509,,01/Apr/19 07:57:07.230,18.0792236,,01/Apr/19 07:49:58.770,17.9650879,,01/Apr/19 07:57:07.230,4.4324976033687,,01/Apr/19 07:49:58.770,4.31045560145537,,01/Apr/19 07:57:07.230,1.3899994,,01/Apr/19 07:49:58.770,1.4299926,,01/Apr/19 07:49:58.770,1.4499969,,01/Apr/19 07:57:07.230,1.4000091,,01/Apr/19 06:33:35.413,23.8509979,,01/Apr/19 07:57:07.230,0.0070037,,01/Apr/19 07:49:58.770,0.0070038,,01/Apr/19 07:57:07.230,0.003006,,01/Apr/19 07:49:58.770,0.0130005,,01/Apr/19 06:34:06.678,1.3000031
01/Apr/19 08:14:01.388,5.5601569096486,,01/Apr/19 08:05:58.829,5.52354839556982,,01/Apr/19 08:14:01.388,18.3361816,,01/Apr/19 08:05:58.829,18.0856323,,01/Apr/19 08:14:01.388,4.38566266472857,,01/Apr/19 08:05:58.829,4.24923539718206,,01/Apr/19 08:14:01.388,1.3899994,,01/Apr/19 08:05:58.829,1.4100037,,01/Apr/19 08:05:58.829,1.449997,,01/Apr/19 08:14:01.388,1.4499969,,01/Apr/19 06:35:54.711,19.8500061,,01/Apr/19 08:14:01.388,0.0369873,,01/Apr/19 08:05:58.829,0.0079956,,01/Apr/19 08:14:01.388,0.0230102,,01/Apr/19 08:05:58.829,0.0319977,,01/Apr/19 06:36:50.878,1.300003
01/Apr/19 08:19:50.738,5.58370250633246,,01/Apr/19 08:16:47.588,5.55800255658234,,01/Apr/19 08:19:50.738,17.96997,,01/Apr/19 08:16:47.588,17.90863,,01/Apr/19 08:19:50.738,4.46713457329217,,01/Apr/19 08:16:47.588,4.28585588924973,,01/Apr/19 08:19:50.738,1.3899994,,01/Apr/19 08:16:47.588,1.4130097,,01/Apr/19 08:16:47.588,1.4500122,,01/Apr/19 08:19:50.738,1.3999939,,01/Apr/19 06:38:25.861,16.6000061,,01/Apr/19 08:19:50.738,0.0079956,,01/Apr/19 08:16:47.588,0.0370025,,01/Apr/19 08:19:50.738,0.0019989,,01/Apr/19 08:16:47.588,0,,01/Apr/19 06:42:34.289,1.3499908
