Sturing Stand,6338,,Controle Stand,12886,,MotorstroomActief,12897,,Sectie Berijding,13578
01/Apr/19 07:41:58.821,Sturing Rechts,,01/Apr/19 06:18:26.671,Rechts in controle,,01/Apr/19 06:18:26.653,Geen Motorstroom,,01/Apr/19 06:20:40.202,Geen Berijding
01/Apr/19 07:45:59.071,Sturing Links,,01/Apr/19 06:29:31.079,Uit controle,,01/Apr/19 06:29:31.011,Motorstroom Actief,,01/Apr/19 06:31:05.313,Wel Berijding
01/Apr/19 07:49:57.320,Sturing Rechts,,01/Apr/19 06:29:32.429,Links in controle,,01/Apr/19 06:29:32.381,Geen Motorstroom,,01/Apr/19 06:31:13.712,Geen Berijding
01/Apr/19 07:57:05.830,Sturing Links,,01/Apr/19 06:31:27.229,Uit controle,,01/Apr/19 06:31:27.121,Motorstroom Actief,,01/Apr/19 06:33:11.562,Wel Berijding
01/Apr/19 08:05:57.379,Sturing Rechts,,01/Apr/19 06:31:28.529,Rechts in controle,,01/Apr/19 06:31:28.521,Geen Motorstroom,,01/Apr/19 06:33:35.413,Geen Berijding
01/Apr/19 08:13:59.938,Sturing Links,,01/Apr/19 06:34:05.378,Uit controle,,01/Apr/19 06:34:05.311,Motorstroom Actief,,01/Apr/19 06:35:34.861,Wel Berijding
01/Apr/19 08:16:46.138,Sturing Rechts,,01/Apr/19 06:34:06.678,Links in controle,,01/Apr/19 06:34:06.681,Geen Motorstroom,,01/Apr/19 06:35:54.711,Geen Berijding
01/Apr/19 08:19:49.338,Sturing Links,,01/Apr/19 06:36:49.578,Uit controle,,01/Apr/19 06:36:49.480,Motorstroom Actief,,01/Apr/19 06:38:09.261,Wel Berijding
01/Apr/19 08:28:57.945,Sturing Rechts,,01/Apr/19 06:36:50.878,Rechts in controle,,01/Apr/19 06:36:50.870,Geen Motorstroom,,01/Apr/19 06:38:25.861,Geen Berijding
01/Apr/19 08:32:42.195,Sturing Links,,01/Apr/19 06:42:32.939,Uit controle,,01/Apr/19 06:42:32.882,Motorstroom Actief,,01/Apr/19 06:44:25.974,Wel Berijding
01/Apr/19 08:34:56.345,Sturing Rechts,,01/Apr/19 06:42:34.289,Links in controle,,01/Apr/19 06:42:34.262,Geen Motorstroom,,01/Apr/19 06:44:37.776,Geen Berijding
01/Apr/19 09:08:01.561,Sturing Links,,01/Apr/19 06:48:19.338,Uit controle,,01/Apr/19 06:48:19.251,Motorstroom Actief,,01/Apr/19 06:50:09.125,Wel Berijding
01/Apr/19 09:09:36.611,Sturing Rechts,,01/Apr/19 06:48:20.689,Rechts in controle,,01/Apr/19 06:48:20.651,Geen Motorstroom,,01/Apr/19 06:50:44.775,Geen Berijding
01/Apr/19 09:13:23.921,Sturing Links,,01/Apr/19 06:59:02.046,Uit controle,,01/Apr/19 06:59:01.979,Motorstroom Actief,,01/Apr/19 07:00:37.335,Wel Berijding
01/Apr/19 09:16:56.120,Sturing Rechts,,01/Apr/19 06:59:03.396,Links in controle,,01/Apr/19 06:59:03.359,Geen Motorstroom,,01/Apr/19 07:00:48.933,Geen Berijding
01/Apr/19 09:27:07.830,Sturing Links,,01/Apr/19 07:02:02.246,Uit controle,,01/Apr/19 07:02:02.158,Motorstroom Actief,,01/Apr/19 07:03:53.134,Wel Berijding
01/Apr/19 09:32:23.180,Sturing Rechts,,01/Apr/19 07:02:03.596,Rechts in controle,,01/Apr/19 07:02:03.568,Geen Motorstroom,,01/Apr/19 07:04:19.833,Geen Berijding
01/Apr/19 09:35:05.379,Sturing Links,,01/Apr/19 07:05:06.445,Uit controle,,01/Apr/19 07:05:06.367,Motorstroom Actief,,01/Apr/19 07:06:43.133,Wel Berijding
01/Apr/19 09:38:08.529,Sturing Rechts,,01/Apr/19 07:05:07.795,Links in controle,,01/Apr/19 07:05:07.747,Geen Motorstroom,,01/Apr/19 07:07:10.334,Geen Berijding
01/Apr/19 09:40:06.678,Sturing Links,,01/Apr/19 07:07:25.595,Uit controle,,01/Apr/19 07:07:25.517,Motorstroom Actief,,01/Apr/19 07:09:06.633,Wel Berijding
01/Apr/19 09:42:05.839,Sturing Rechts,,01/Apr/19 07:07:26.945,Rechts in controle,,01/Apr/19 07:07:26.927,Geen Motorstroom,,01/Apr/19 07:09:23.233,Geen Berijding
01/Apr/19 09:45:33.038,Sturing Links,,01/Apr/19 07:12:28.955,Uit controle,,01/Apr/19 07:12:28.868,Motorstroom Actief,,01/Apr/19 07:14:23.744,Wel Berijding
