Sturing Stand,6338,,Controle Stand,12886,,MotorstroomActief,12897,,Sectie Berijding,13578
08/Apr/19 09:55:18.426,Sturing Rechts,,04/Apr/19 13:04:05.277,Uit controle,,04/Apr/19 13:04:05.209,Motorstroom Actief,,04/Apr/19 10:04:33.954,Wel Berijding
08/Apr/19 10:02:57.925,Sturing Links,,04/Apr/19 13:04:06.626,Links in controle,,04/Apr/19 13:04:06.609,Geen Motorstroom,,04/Apr/19 10:04:55.102,Geen Berijding
08/Apr/19 10:05:16.083,Sturing Rechts,,04/Apr/19 13:06:26.439,Uit controle,,04/Apr/19 13:06:26.361,Motorstroom Actief,,04/Apr/19 10:07:22.803,Wel Berijding
08/Apr/19 10:07:23.233,Sturing Links,,04/Apr/19 13:06:27.789,Rechts in controle,,04/Apr/19 13:06:27.791,Geen Motorstroom,,04/Apr/19 10:07:43.702,Geen Berijding
08/Apr/19 10:13:06.582,Sturing Rechts,,04/Apr/19 13:12:07.838,Uit controle,,04/Apr/19 13:12:07.751,Motorstroom Actief,,04/Apr/19 10:14:42.804,Wel Berijding
08/Apr/19 10:16:19.831,Sturing Links,,04/Apr/19 13:12:09.188,Links in controle,,04/Apr/19 13:12:09.151,Geen Motorstroom,,04/Apr/19 10:14:59.203,Geen Berijding
08/Apr/19 10:19:35.031,Sturing Rechts,,04/Apr/19 13:16:18.138,Uit controle,,04/Apr/19 13:16:18.010,Motorstroom Actief,,04/Apr/19 10:16:20.602,Wel Berijding
08/Apr/19 10:24:12.342,Sturing Links,,04/Apr/19 13:16:19.437,Rechts in controle,,04/Apr/19 13:16:19.430,Geen Motorstroom,,04/Apr/19 10:16:45.653,Geen Berijding
08/Apr/19 10:33:59.991,Sturing Rechts,,04/Apr/19 13:19:52.337,Uit controle,,04/Apr/19 13:19:52.260,Motorstroom Actief,,04/Apr/19 10:19:03.702,Wel Berijding
08/Apr/19 10:49:29.063,Sturing Links,,04/Apr/19 13:19:53.687,Links in controle,,04/Apr/19 13:19:53.660,Geen Motorstroom,,04/Apr/19 10:19:23.752,Geen Berijding
08/Apr/19 10:55:04.410,Sturing Rechts,,04/Apr/19 13:22:53.546,Uit controle,,04/Apr/19 13:22:53.458,Motorstroom Actief,,04/Apr/19 10:20:56.313,Wel Berijding
08/Apr/19 11:01:29.809,Sturing Links,,04/Apr/19 13:22:54.895,Rechts in controle,,04/Apr/19 13:22:54.878,Geen Motorstroom,,04/Apr/19 10:21:26.263,Geen Berijding
08/Apr/19 11:04:11.009,Sturing Rechts,,04/Apr/19 13:27:49.895,Uit controle,,04/Apr/19 13:27:49.797,Motorstroom Actief,,04/Apr/19 10:27:17.863,Wel Berijding
08/Apr/19 11:06:49.168,Sturing Links,,04/Apr/19 13:27:51.245,Links in controle,,04/Apr/19 13:27:51.197,Geen Motorstroom,,04/Apr/19 10:27:49.164,Geen Berijding
08/Apr/19 11:16:24.817,Sturing Rechts,,04/Apr/19 13:31:30.144,Uit controle,,04/Apr/19 13:31:30.017,Motorstroom Actief,,04/Apr/19 10:30:21.763,Wel Berijding
08/Apr/19 11:26:17.475,Sturing Links,,04/Apr/19 13:31:31.444,Rechts in controle,,04/Apr/19 13:31:31.447,Geen Motorstroom,,04/Apr/19 10:30:45.912,Geen Berijding
08/Apr/19 11:32:50.924,Sturing Rechts,,04/Apr/19 13:35:08.344,Uit controle,,04/Apr/19 13:35:08.266,Motorstroom Actief,,04/Apr/19 10:32:42.913,Wel Berijding
08/Apr/19 11:35:05.074,Sturing Links,,04/Apr/19 13:35:09.694,Links in controle,,04/Apr/19 13:35:09.666,Geen Motorstroom,,04/Apr/19 10:32:59.012,Geen Berijding
08/Apr/19 11:38:25.284,Sturing Rechts,,04/Apr/19 13:37:29.553,Uit controle,,04/Apr/19 13:37:29.425,Motorstroom Actief,,04/Apr/19 10:36:26.523,Wel Berijding
08/Apr/19 11:41:41.484,Sturing Links,,04/Apr/19 13:37:30.853,Rechts in controle,,04/Apr/19 13:37:30.835,Geen Motorstroom,,04/Apr/19 10:36:48.123,Geen Berijding
08/Apr/19 11:42:49.584,Sturing Rechts,,04/Apr/19 13:43:27.902,Uit controle,,04/Apr/19 13:43:27.835,Motorstroom Actief,,04/Apr/19 10:38:28.374,Wel Berijding
08/Apr/19 11:46:27.833,Sturing Links,,04/Apr/19 13:43:29.252,Links in controle,,04/Apr/19 13:43:29.225,Geen Motorstroom,,04/Apr/19 10:38:37.824,Geen Berijding
08/Apr/19 11:51:12.144,Sturing Rechts,,04/Apr/19 13:48:41.251,Uit controle,,04/Apr/19 13:48:41.164,Motorstroom Actief,,04/Apr/19 10:44:09.723,Wel Berijding
08/Apr/19 11:55:25.443,Sturing Links,,04/Apr/19 13:48:42.602,Rechts in controle,,04/Apr/19 13:48:42.574,Geen Motorstroom,,04/Apr/19 10:44:36.974,Geen Berijding
08/Apr/19 12:01:26.792,Sturing Rechts,,04/Apr/19 13:58:58.963,Uit controle,,04/Apr/19 13:58:58.876,Motorstroom Actief,,04/Apr/19 10:49:48.833,Wel Berijding
08/Apr/19 12:05:09.092,Sturing Links,,04/Apr/19 13:59:00.263,Links in controle,,04/Apr/19 13:59:00.266,Geen Motorstroom,,04/Apr/19 10:50:05.233,Geen Berijding
08/Apr/19 12:08:59.301,Sturing Rechts,,04/Apr/19 14:01:09.113,Uit controle,,04/Apr/19 14:01:08.996,Motorstroom Actief,,04/Apr/19 10:52:53.385,Wel Berijding
08/Apr/19 12:12:21.551,Sturing Links,,04/Apr/19 14:01:10.413,Rechts in controle,,04/Apr/19 14:01:10.416,Geen Motorstroom,,04/Apr/19 10:53:26.633,Geen Berijding
08/Apr/19 12:16:24.800,Sturing Rechts,,04/Apr/19 14:03:17.263,Uit controle,,04/Apr/19 14:03:17.156,Motorstroom Actief,,04/Apr/19 10:57:46.084,Wel Berijding
08/Apr/19 12:20:29.100,Sturing Links,,04/Apr/19 14:03:18.563,Links in controle,,04/Apr/19 14:03:18.536,Geen Motorstroom,,04/Apr/19 10:58:02.384,Geen Berijding
08/Apr/19 12:25:17.410,Sturing Rechts,,04/Apr/19 14:06:04.420,Uit controle,,04/Apr/19 14:06:04.332,Motorstroom Actief,,04/Apr/19 11:04:45.033,Wel Berijding
08/Apr/19 12:32:25.909,Sturing Links,,04/Apr/19 14:06:05.770,Rechts in controle,,04/Apr/19 14:06:05.732,Geen Motorstroom,,04/Apr/19 11:05:15.144,Geen Berijding
08/Apr/19 12:35:39.109,Sturing Rechts,,04/Apr/19 14:12:26.869,Uit controle,,04/Apr/19 14:12:26.761,Motorstroom Actief,,04/Apr/19 11:06:47.444,Wel Berijding
08/Apr/19 12:38:27.317,Sturing Links,,04/Apr/19 14:12:28.169,Links in controle,,04/Apr/19 14:12:28.161,Geen Motorstroom,,04/Apr/19 11:06:57.794,Geen Berijding
08/Apr/19 12:49:04.966,Sturing Rechts,,04/Apr/19 14:17:25.168,Uit controle,,04/Apr/19 14:17:25.081,Motorstroom Actief,,04/Apr/19 11:09:31.144,Wel Berijding
08/Apr/19 12:52:56.275,Sturing Links,,04/Apr/19 14:17:26.518,Rechts in controle,,04/Apr/19 14:17:26.491,Geen Motorstroom,,04/Apr/19 11:09:58.294,Geen Berijding
08/Apr/19 12:56:20.475,Sturing Rechts,,04/Apr/19 14:23:29.579,Uit controle,,04/Apr/19 14:23:29.501,Motorstroom Actief,,04/Apr/19 11:15:22.394,Wel Berijding
08/Apr/19 12:59:37.725,Sturing Onbekend,,04/Apr/19 14:23:30.929,Links in controle,,04/Apr/19 14:23:30.901,Geen Motorstroom,,04/Apr/19 11:15:43.894,Geen Berijding
08/Apr/19 12:59:40.525,Sturing Rechts,,04/Apr/19 14:26:51.829,Uit controle,,04/Apr/19 14:26:51.721,Motorstroom Actief,,04/Apr/19 11:18:12.794,Wel Berijding
08/Apr/19 13:02:24.874,Sturing Rechts,,04/Apr/19 14:26:53.179,Rechts in controle,,04/Apr/19 14:26:53.131,Geen Motorstroom,,04/Apr/19 11:18:55.895,Geen Berijding
08/Apr/19 13:06:50.183,Sturing Links,,04/Apr/19 14:30:55.078,Uit controle,,04/Apr/19 14:30:54.990,Motorstroom Actief,,04/Apr/19 11:23:58.055,Wel Berijding
08/Apr/19 13:17:55.932,Sturing Rechts,,04/Apr/19 14:30:56.428,Links in controle,,04/Apr/19 14:30:56.390,Geen Motorstroom,,04/Apr/19 11:24:22.706,Geen Berijding
08/Apr/19 13:20:21.081,Sturing Links,,04/Apr/19 14:34:29.327,Uit controle,,04/Apr/19 14:34:29.220,Motorstroom Actief,,04/Apr/19 11:27:57.855,Wel Berijding
08/Apr/19 13:22:29.243,Sturing Rechts,,04/Apr/19 14:34:30.678,Rechts in controle,,04/Apr/19 14:34:30.640,Geen Motorstroom,,04/Apr/19 11:28:22.306,Geen Berijding
08/Apr/19 13:25:24.443,Sturing Links,,04/Apr/19 14:36:40.488,Uit controle,,04/Apr/19 14:36:40.381,Motorstroom Actief,,04/Apr/19 11:32:10.105,Wel Berijding
08/Apr/19 13:27:50.593,Sturing Rechts,,04/Apr/19 14:36:41.788,Links in controle,,04/Apr/19 14:36:41.771,Geen Motorstroom,,04/Apr/19 11:32:29.856,Geen Berijding
08/Apr/19 13:31:42.842,Sturing Links,,04/Apr/19 14:40:24.738,Uit controle,,04/Apr/19 14:40:24.620,Motorstroom Actief,,04/Apr/19 11:34:30.556,Wel Berijding
08/Apr/19 13:33:24.942,Sturing Rechts,,04/Apr/19 14:40:26.038,Rechts in controle,,04/Apr/19 14:40:26.040,Geen Motorstroom,,04/Apr/19 11:35:01.766,Geen Berijding
08/Apr/19 13:36:23.152,Sturing Links,,04/Apr/19 14:42:40.887,Uit controle,,04/Apr/19 14:42:40.780,Motorstroom Actief,,04/Apr/19 11:37:32.217,Wel Berijding
08/Apr/19 13:48:35.951,Sturing Rechts,,04/Apr/19 14:42:42.187,Links in controle,,04/Apr/19 14:42:42.170,Geen Motorstroom,,04/Apr/19 11:38:09.016,Geen Berijding
08/Apr/19 13:55:27.411,Sturing Links,,04/Apr/19 14:48:43.287,Uit controle,,04/Apr/19 14:48:43.169,Motorstroom Actief,,04/Apr/19 11:40:03.617,Wel Berijding
08/Apr/19 14:02:48.910,Sturing Rechts,,04/Apr/19 14:48:44.587,Rechts in controle,,04/Apr/19 14:48:44.579,Geen Motorstroom,,04/Apr/19 11:40:21.518,Geen Berijding
08/Apr/19 14:06:43.169,Sturing Links,,04/Apr/19 15:00:37.045,Uit controle,,04/Apr/19 15:00:36.968,Motorstroom Actief,,04/Apr/19 11:46:26.768,Wel Berijding
08/Apr/19 14:09:04.319,Sturing Rechts,,04/Apr/19 15:00:38.395,Links in controle,,04/Apr/19 15:00:38.368,Geen Motorstroom,,04/Apr/19 11:46:38.867,Geen Berijding
08/Apr/19 14:15:20.768,Sturing Links,,04/Apr/19 15:03:18.244,Uit controle,,04/Apr/19 15:03:18.137,Motorstroom Actief,,04/Apr/19 11:51:02.876,Wel Berijding
08/Apr/19 14:17:49.918,Sturing Rechts,,04/Apr/19 15:03:19.595,Rechts in controle,,04/Apr/19 15:03:19.547,Geen Motorstroom,,04/Apr/19 11:51:35.075,Geen Berijding
08/Apr/19 14:20:35.118,Sturing Links,,04/Apr/19 15:05:34.394,Uit controle,,04/Apr/19 15:05:34.297,Motorstroom Actief,,04/Apr/19 11:58:06.976,Wel Berijding
08/Apr/19 14:24:12.329,Sturing Rechts,,04/Apr/19 15:05:35.695,Links in controle,,04/Apr/19 15:05:35.687,Geen Motorstroom,,04/Apr/19 11:58:25.725,Geen Berijding
08/Apr/19 14:26:31.478,Sturing Links,,04/Apr/19 15:14:02.952,Uit controle,,04/Apr/19 15:14:02.855,Motorstroom Actief,,04/Apr/19 12:03:52.826,Wel Berijding
08/Apr/19 14:30:43.778,Sturing Rechts,,04/Apr/19 15:14:04.302,Rechts in controle,,04/Apr/19 15:14:04.265,Geen Motorstroom,,04/Apr/19 12:04:17.675,Geen Berijding
08/Apr/19 14:33:59.977,Sturing Links,,04/Apr/19 15:16:51.152,Uit controle,,04/Apr/19 15:16:51.054,Motorstroom Actief,,04/Apr/19 12:07:07.285,Wel Berijding
08/Apr/19 14:36:23.127,Sturing Rechts,,04/Apr/19 15:16:52.452,Links in controle,,04/Apr/19 15:16:52.434,Geen Motorstroom,,04/Apr/19 12:07:32.136,Geen Berijding
08/Apr/19 14:43:27.634,Sturing Links,,04/Apr/19 15:20:11.351,Uit controle,,04/Apr/19 15:20:11.254,Motorstroom Actief,,04/Apr/19 12:09:21.936,Wel Berijding
08/Apr/19 14:48:57.983,Sturing Rechts,,04/Apr/19 15:20:12.702,Rechts in controle,,04/Apr/19 15:20:12.674,Geen Motorstroom,,04/Apr/19 12:09:38.535,Geen Berijding
08/Apr/19 14:55:21.473,Sturing Links,,04/Apr/19 15:22:44.563,Uit controle,,04/Apr/19 15:22:44.446,Motorstroom Actief,,04/Apr/19 12:14:21.986,Wel Berijding
08/Apr/19 15:01:59.872,Sturing Rechts,,04/Apr/19 15:22:45.863,Links in controle,,04/Apr/19 15:22:45.846,Geen Motorstroom,,04/Apr/19 12:14:36.335,Geen Berijding
08/Apr/19 15:04:33.072,Sturing Links,,04/Apr/19 15:26:07.762,Uit controle,,04/Apr/19 15:26:07.665,Motorstroom Actief,,04/Apr/19 12:18:20.385,Wel Berijding
08/Apr/19 15:06:45.153,Sturing Rechts,,04/Apr/19 15:26:09.112,Rechts in controle,,04/Apr/19 15:26:09.085,Geen Motorstroom,,04/Apr/19 12:18:50.835,Geen Berijding
08/Apr/19 15:12:22.552,Sturing Links,,04/Apr/19 15:31:18.112,Uit controle,,04/Apr/19 15:31:18.014,Motorstroom Actief,,04/Apr/19 12:21:37.997,Wel Berijding
08/Apr/19 15:16:31.802,Sturing Rechts,,04/Apr/19 15:31:19.412,Links in controle,,04/Apr/19 15:31:19.414,Geen Motorstroom,,04/Apr/19 12:21:58.647,Geen Berijding
08/Apr/19 15:20:55.101,Sturing Links,,04/Apr/19 15:34:13.311,Uit controle,,04/Apr/19 15:34:13.194,Motorstroom Actief,,04/Apr/19 12:28:03.246,Wel Berijding
08/Apr/19 15:23:24.261,Sturing Rechts,,04/Apr/19 15:34:14.611,Rechts in controle,,04/Apr/19 15:34:14.614,Geen Motorstroom,,04/Apr/19 12:28:20.796,Geen Berijding
08/Apr/19 15:27:05.510,Sturing Links,,04/Apr/19 15:36:59.472,Uit controle,,04/Apr/19 15:36:59.395,Motorstroom Actief,,04/Apr/19 12:34:49.495,Wel Berijding
08/Apr/19 15:31:18.810,Sturing Rechts,,04/Apr/19 15:37:00.822,Links in controle,,04/Apr/19 15:37:00.805,Geen Motorstroom,,04/Apr/19 12:35:08.045,Geen Berijding
08/Apr/19 15:33:58.010,Sturing Links,,04/Apr/19 15:42:41.871,Uit controle,,04/Apr/19 15:42:41.764,Motorstroom Actief,,04/Apr/19 12:36:51.858,Wel Berijding
08/Apr/19 15:36:24.110,Sturing Rechts,,04/Apr/19 15:42:43.221,Rechts in controle,,04/Apr/19 15:42:43.174,Geen Motorstroom,,04/Apr/19 12:37:18.707,Geen Berijding
08/Apr/19 15:42:56.570,Sturing Links,,04/Apr/19 15:48:53.270,Uit controle,,04/Apr/19 15:48:53.183,Motorstroom Actief,,04/Apr/19 12:39:00.708,Wel Berijding
08/Apr/19 16:01:42.826,Sturing Rechts,,04/Apr/19 15:48:54.621,Links in controle,,04/Apr/19 15:48:54.583,Geen Motorstroom,,04/Apr/19 12:39:18.657,Geen Berijding
08/Apr/19 16:05:10.076,Sturing Links,,04/Apr/19 15:56:54.828,Uit controle,,04/Apr/19 15:56:54.720,Motorstroom Actief,,04/Apr/19 12:43:56.057,Wel Berijding
08/Apr/19 16:09:34.336,Sturing Rechts,,04/Apr/19 15:56:56.128,Rechts in controle,,04/Apr/19 15:56:56.130,Geen Motorstroom,,04/Apr/19 12:44:17.507,Geen Berijding
08/Apr/19 16:21:15.134,Sturing Links,,04/Apr/19 16:02:54.227,Uit controle,,04/Apr/19 16:02:54.119,Motorstroom Actief,,04/Apr/19 12:50:21.259,Wel Berijding
08/Apr/19 16:24:17.344,Sturing Onbekend,,04/Apr/19 16:02:55.527,Links in controle,,04/Apr/19 16:02:55.519,Geen Motorstroom,,04/Apr/19 12:50:48.217,Geen Berijding
08/Apr/19 16:24:20.144,Sturing Links,,04/Apr/19 16:05:13.377,Uit controle,,04/Apr/19 16:05:13.259,Motorstroom Actief,,04/Apr/19 12:55:49.966,Wel Berijding
08/Apr/19 16:34:20.993,Sturing Rechts,,04/Apr/19 16:05:14.727,Rechts in controle,,04/Apr/19 16:05:14.679,Geen Motorstroom,,04/Apr/19 12:56:49.616,Geen Berijding
08/Apr/19 16:36:48.193,Sturing Links,,04/Apr/19 16:10:18.688,Uit controle,,04/Apr/19 16:10:18.610,Motorstroom Actief,,04/Apr/19 12:58:56.518,Wel Berijding
08/Apr/19 16:39:43.354,Sturing Rechts,,04/Apr/19 16:10:20.088,Links in controle,,04/Apr/19 16:10:20.040,Geen Motorstroom,,04/Apr/19 12:59:08.567,Geen Berijding
08/Apr/19 16:42:16.553,Sturing Links,,04/Apr/19 16:12:25.838,Uit controle,,04/Apr/19 16:12:25.740,Motorstroom Actief,,04/Apr/19 13:03:32.217,Wel Berijding
08/Apr/19 16:48:37.952,Sturing Rechts,,04/Apr/19 16:12:27.188,Rechts in controle,,04/Apr/19 16:12:27.170,Geen Motorstroom,,04/Apr/19 13:03:58.967,Geen Berijding
08/Apr/19 16:57:52.611,Sturing Links,,04/Apr/19 16:16:44.137,Uit controle,,04/Apr/19 16:16:44.040,Motorstroom Actief,,04/Apr/19 13:05:23.016,Wel Berijding
08/Apr/19 17:00:07.711,Sturing Rechts,,04/Apr/19 16:16:45.487,Links in controle,,04/Apr/19 16:16:45.450,Geen Motorstroom,,04/Apr/19 13:05:42.379,Geen Berijding
08/Apr/19 17:03:49.961,Sturing Links,,04/Apr/19 16:20:24.387,Uit controle,,04/Apr/19 16:20:24.269,Motorstroom Actief,,04/Apr/19 13:07:52.128,Wel Berijding
08/Apr/19 17:06:12.111,Sturing Rechts,,04/Apr/19 16:20:25.737,Rechts in controle,,04/Apr/19 16:20:25.699,Geen Motorstroom,,04/Apr/19 13:08:14.229,Geen Berijding
08/Apr/19 17:11:52.520,Sturing Links,,04/Apr/19 16:23:18.597,Uit controle,,04/Apr/19 16:23:18.479,Motorstroom Actief,,04/Apr/19 13:13:55.679,Wel Berijding
08/Apr/19 17:17:48.919,Sturing Rechts,,04/Apr/19 16:23:19.897,Links in controle,,04/Apr/19 16:23:19.889,Geen Motorstroom,,04/Apr/19 13:14:06.228,Geen Berijding
08/Apr/19 17:21:23.169,Sturing Links,,04/Apr/19 16:28:20.896,Uit controle,,04/Apr/19 16:28:20.808,Motorstroom Actief,,04/Apr/19 13:18:03.779,Wel Berijding
08/Apr/19 17:23:58.328,Sturing Rechts,,04/Apr/19 16:28:22.246,Rechts in controle,,04/Apr/19 16:28:22.228,Geen Motorstroom,,04/Apr/19 13:18:28.529,Geen Berijding
08/Apr/19 17:26:49.528,Sturing Links,,04/Apr/19 16:32:51.196,Uit controle,,04/Apr/19 16:32:51.118,Motorstroom Actief,,04/Apr/19 13:21:37.388,Wel Berijding
08/Apr/19 17:30:50.777,Sturing Rechts,,04/Apr/19 16:32:52.545,Links in controle,,04/Apr/19 16:32:52.518,Geen Motorstroom,,04/Apr/19 13:21:59.638,Geen Berijding
08/Apr/19 17:34:17.027,Sturing Links,,04/Apr/19 16:35:24.395,Uit controle,,04/Apr/19 16:35:24.278,Motorstroom Actief,,04/Apr/19 13:24:33.688,Wel Berijding
08/Apr/19 17:36:32.127,Sturing Rechts,,04/Apr/19 16:35:25.695,Rechts in controle,,04/Apr/19 16:35:25.688,Geen Motorstroom,,04/Apr/19 13:25:07.038,Geen Berijding
08/Apr/19 17:47:11.886,Sturing Links,,04/Apr/19 16:38:06.553,Uit controle,,04/Apr/19 16:38:06.466,Motorstroom Actief,,04/Apr/19 13:29:27.287,Wel Berijding
08/Apr/19 17:50:16.035,Sturing Rechts,,04/Apr/19 16:38:07.903,Links in controle,,04/Apr/19 16:38:07.886,Geen Motorstroom,,04/Apr/19 13:29:45.138,Geen Berijding
08/Apr/19 17:55:39.446,Sturing Links,,04/Apr/19 16:42:15.853,Uit controle,,04/Apr/19 16:42:15.735,Motorstroom Actief,,04/Apr/19 13:36:43.646,Wel Berijding
08/Apr/19 18:03:09.945,Sturing Rechts,,04/Apr/19 16:42:17.153,Rechts in controle,,04/Apr/19 16:42:17.145,Geen Motorstroom,,04/Apr/19 13:37:14.196,Geen Berijding
08/Apr/19 18:05:23.094,Sturing Links,,04/Apr/19 16:49:10.302,Uit controle,,04/Apr/19 16:49:10.204,Motorstroom Actief,,04/Apr/19 13:38:53.996,Wel Berijding
08/Apr/19 18:08:24.282,Sturing Rechts,,04/Apr/19 16:49:11.602,Links in controle,,04/Apr/19 16:49:11.594,Geen Motorstroom,,04/Apr/19 13:39:12.696,Geen Berijding
08/Apr/19 18:14:32.732,Sturing Links,,04/Apr/19 16:56:41.812,Uit controle,,04/Apr/19 16:56:41.704,Motorstroom Actief,,04/Apr/19 13:45:31.899,Wel Berijding
08/Apr/19 18:17:03.881,Sturing Rechts,,04/Apr/19 16:56:43.112,Rechts in controle,,04/Apr/19 16:56:43.114,Geen Motorstroom,,04/Apr/19 13:45:46.747,Geen Berijding
08/Apr/19 18:20:26.131,Sturing Links,,04/Apr/19 17:02:26.161,Uit controle,,04/Apr/19 17:02:26.084,Motorstroom Actief,,04/Apr/19 13:50:26.898,Wel Berijding
08/Apr/19 18:24:11.315,Sturing Rechts,,04/Apr/19 17:02:27.511,Links in controle,,04/Apr/19 17:02:27.474,Geen Motorstroom,,04/Apr/19 13:50:55.311,Geen Berijding
08/Apr/19 18:33:21.964,Sturing Links,,04/Apr/19 17:04:32.311,Uit controle,,04/Apr/19 17:04:32.223,Motorstroom Actief,,04/Apr/19 14:00:39.961,Wel Berijding
08/Apr/19 18:36:17.113,Sturing Rechts,,04/Apr/19 17:04:33.661,Rechts in controle,,04/Apr/19 17:04:33.623,Geen Motorstroom,,04/Apr/19 14:00:55.960,Geen Berijding
08/Apr/19 18:38:53.321,Sturing Links,,04/Apr/19 17:07:51.520,Uit controle,,04/Apr/19 17:07:51.453,Motorstroom Actief,,04/Apr/19 14:02:45.760,Wel Berijding
08/Apr/19 18:44:16.671,Sturing Rechts,,04/Apr/19 17:07:52.870,Links in controle,,04/Apr/19 17:07:52.843,Geen Motorstroom,,04/Apr/19 14:03:07.360,Geen Berijding
08/Apr/19 18:54:39.382,Sturing Links,,04/Apr/19 17:13:20.920,Uit controle,,04/Apr/19 17:13:20.802,Motorstroom Actief,,04/Apr/19 14:05:00.061,Wel Berijding
08/Apr/19 19:02:24.880,Sturing Rechts,,04/Apr/19 17:13:22.219,Rechts in controle,,04/Apr/19 17:13:22.212,Geen Motorstroom,,04/Apr/19 14:05:18.211,Geen Berijding
08/Apr/19 19:05:07.080,Sturing Links,,04/Apr/19 17:20:04.369,Uit controle,,04/Apr/19 17:20:04.261,Motorstroom Actief,,04/Apr/19 14:07:10.117,Wel Berijding
08/Apr/19 19:13:47.636,Sturing Rechts,,04/Apr/19 17:20:05.669,Links in controle,,04/Apr/19 17:20:05.651,Geen Motorstroom,,04/Apr/19 14:07:27.917,Geen Berijding
08/Apr/19 19:16:37.836,Sturing Links,,04/Apr/19 17:23:12.580,Uit controle,,04/Apr/19 17:23:12.462,Motorstroom Actief,,04/Apr/19 14:14:14.018,Wel Berijding
08/Apr/19 19:20:37.085,Sturing Rechts,,04/Apr/19 17:23:13.879,Rechts in controle,,04/Apr/19 17:23:13.862,Geen Motorstroom,,04/Apr/19 14:14:26.218,Geen Berijding
08/Apr/19 19:23:36.296,Sturing Onbekend,,04/Apr/19 17:27:30.829,Uit controle,,04/Apr/19 17:27:30.762,Motorstroom Actief,,04/Apr/19 14:19:07.418,Wel Berijding
08/Apr/19 19:23:39.146,Sturing Rechts,,04/Apr/19 17:27:32.179,Links in controle,,04/Apr/19 17:27:32.142,Geen Motorstroom,,04/Apr/19 14:19:40.668,Geen Berijding
08/Apr/19 19:30:10.695,Sturing Rechts,,04/Apr/19 17:32:11.179,Uit controle,,04/Apr/19 17:32:11.061,Motorstroom Actief,,04/Apr/19 14:25:18.381,Wel Berijding
08/Apr/19 19:33:22.945,Sturing Links,,04/Apr/19 17:32:12.478,Rechts in controle,,04/Apr/19 17:32:12.471,Geen Motorstroom,,04/Apr/19 14:25:41.180,Geen Berijding
08/Apr/19 19:35:39.095,Sturing Rechts,,04/Apr/19 17:35:21.378,Uit controle,,04/Apr/19 17:35:21.270,Motorstroom Actief,,04/Apr/19 14:28:35.780,Wel Berijding
08/Apr/19 19:38:56.304,Sturing Links,,04/Apr/19 17:35:22.678,Links in controle,,04/Apr/19 17:35:22.650,Geen Motorstroom,,04/Apr/19 14:28:58.529,Geen Berijding
08/Apr/19 19:42:24.554,Sturing Rechts,,04/Apr/19 17:37:45.538,Uit controle,,04/Apr/19 17:37:45.431,Motorstroom Actief,,04/Apr/19 14:32:57.929,Wel Berijding
08/Apr/19 19:49:03.002,Sturing Links,,04/Apr/19 17:37:46.888,Rechts in controle,,04/Apr/19 17:37:46.851,Geen Motorstroom,,04/Apr/19 14:33:09.130,Geen Berijding
08/Apr/19 20:02:16.864,Sturing Rechts,,04/Apr/19 17:42:09.837,Uit controle,,04/Apr/19 17:42:09.740,Motorstroom Actief,,04/Apr/19 14:36:07.490,Wel Berijding
08/Apr/19 20:04:40.013,Sturing Links,,04/Apr/19 17:42:11.137,Links in controle,,04/Apr/19 17:42:11.120,Geen Motorstroom,,04/Apr/19 14:36:34.096,Geen Berijding
08/Apr/19 20:13:18.621,Sturing Rechts,,04/Apr/19 17:50:56.386,Uit controle,,04/Apr/19 17:50:56.309,Motorstroom Actief,,04/Apr/19 14:38:22.340,Wel Berijding
08/Apr/19 20:16:30.821,Sturing Links,,04/Apr/19 17:50:57.736,Rechts in controle,,04/Apr/19 17:50:57.719,Geen Motorstroom,,04/Apr/19 14:38:32.839,Geen Berijding
08/Apr/19 20:19:58.020,Sturing Rechts,,04/Apr/19 17:57:50.846,Uit controle,,04/Apr/19 17:57:50.778,Motorstroom Actief,,04/Apr/19 14:42:04.890,Wel Berijding
08/Apr/19 20:25:01.382,Sturing Links,,04/Apr/19 17:57:52.196,Links in controle,,04/Apr/19 17:57:52.168,Geen Motorstroom,,04/Apr/19 14:42:34.189,Geen Berijding
08/Apr/19 20:30:54.781,Sturing Rechts,,04/Apr/19 18:03:40.245,Uit controle,,04/Apr/19 18:03:40.158,Motorstroom Actief,,04/Apr/19 14:44:28.440,Wel Berijding
08/Apr/19 20:33:49.980,Sturing Links,,04/Apr/19 18:03:41.595,Rechts in controle,,04/Apr/19 18:03:41.568,Geen Motorstroom,,04/Apr/19 14:44:43.741,Geen Berijding
08/Apr/19 20:36:28.130,Sturing Rechts,,04/Apr/19 18:06:12.395,Uit controle,,04/Apr/19 18:06:12.327,Motorstroom Actief,,04/Apr/19 14:50:14.741,Wel Berijding
08/Apr/19 20:38:57.338,Sturing Links,,04/Apr/19 18:06:13.745,Links in controle,,04/Apr/19 18:06:13.717,Geen Motorstroom,,04/Apr/19 14:50:39.740,Geen Berijding
08/Apr/19 20:42:21.538,Sturing Rechts,,04/Apr/19 18:08:54.604,Uit controle,,04/Apr/19 18:08:54.507,Motorstroom Actief,,04/Apr/19 15:02:43.800,Wel Berijding
08/Apr/19 20:50:02.037,Sturing Links,,04/Apr/19 18:08:55.954,Rechts in controle,,04/Apr/19 18:08:55.907,Geen Motorstroom,,04/Apr/19 15:02:57.500,Geen Berijding
